Price,Close,High,Low,Open,Volume
Ticker,005930.KQ,005930.KQ,005930.KQ,005930.KQ,005930.KQ
Date,,,,,
2024-02-15,71651.9609375,72826.58324795082,71456.19055242487,72630.81286287568,14120600
2024-02-16,71260.40625,71847.71729052198,70966.75072973901,71749.83211710166,13444781
2024-02-19,72239.2578125,72337.14298568766,71260.4060806233,71260.4060806233,12726404
2024-02-20,71749.8359375,72141.37665202933,71260.41004433834,72141.37665202933,14681477
2024-02-21,71456.1875,72141.38381849315,71358.30231164384,71847.72825342466,11503495
2024-02-22,71554.0703125,72337.15179334815,71162.52957207593,72239.26660824213,15208934
2024-02-23,71358.2890625,72630.79627486283,71358.2890625,72043.48525377229,16225166
2024-02-26,71260.40625,71651.94694368132,70673.09520947802,70770.98038289836,14669352
2024-02-27,71358.2890625,71847.71491340878,71162.51872213649,71554.05940286351,13201981
2024-02-28,71651.9609375,72337.15728526298,71260.42016734973,71358.3053598873,11795859
2024-02-29,71847.7265625,71847.7265625,70477.33395776566,71064.64507408038,21176403
